[1328480, 1958691, 926778, 1329651, 2496994, 1328657, 4869586, 927734]
[1730299, 1626063, 524405, 1731736, 1910073, 1730425, 4261954, 524881]
[1996623, 358071, -773560, 1998296, 415565, 1996733, 2760510, -774380]
[1630170, 483620, -590122, 1631591, 760359, 1630318, 3114412, -590703]
[1298037, 1808561, 757568, 1299176, 2336887, 1298216, 4690734, 758369]
[1627389, 1821536, 711597, 1628764, 2157712, 1627524, 4492323, 712259]
[1974644, 564511, -599969, 1976311, 619378, 1974754, 2942276, -600608]
[1706253, 325792, -781500, 1707724, 535211, 1706393, 2868494, -782244]
[1301721, 1567157, 522469, 1302877, 2090746, 1301904, 4430082, 523043]
[1524721, 1936816, 850101, 1526011, 2351623, 1524876, 4674493, 850929]
[1932336, 748118, -386007, 1933932, 865783, 1932424, 3177627, -386426]
[1778097, 172529, -916302, 1779608, 356913, 1778204, 2679405, -917207]
[1328969, 1288904, 267818, 1330147, 1797400, 1329141, 4128958, 268119]
[1422849, 1989193, 940639, 1424082, 2474750, 1423008, 4794371, 941579]
[1868186, 961913, -144019, 1869757, 1139784, 1868292, 3445395, -144216]
[1847713, 107326, -982009, 1849289, 253539, 1847820, 2564118, -982994]
[1383631, 1028550, -1196, 1384833, 1483970, 1383795, 3805546, -1172]
[1341933, 2011399, 964037, 1343100, 2527871, 1342099, 4841521, 964988]
[1789800, 1213658, 95916, 1791281, 1421309, 1789904, 3719646, 95946]
[1894259, 128189, -982537, 1895874, 222998, 1894363, 2526907, -983534]
[1446546, 784713, -260752, 1447818, 1169653, 1446690, 3486550, -260994]
[1283753, 1947599, 922940, 1284882, 2500194, 1283928, 4810128, 923891]
[1706772, 1426279, 324092, 1708193, 1687540, 1706884, 3981501, 324371]
[1917759, 234884, -905135, 1919373, 283818, 1917855, 2578486, -906079]
[1522165, 561535, -489497, 1523494, 886652, 1522318, 3192926, -489976]
[1252480, 1813571, 799304, 1253583, 2369661, 1252644, 4673546, 800128]
[1621021, 1596023, 518694, 1622373, 1918816, 1621144, 4206440, 519176]
[1923708, 341051, -763103, 1925313, 425318, 1923799, 2710488, -763898]
[1604799, 330689, -711379, 1606188, 606366, 1604946, 2904933, -712076]
[1243484, 1631826, 615834, 1244606, 2169711, 1243671, 4469872, 616478]
[1524281, 1769039, 706209, 1525593, 2152758, 1524441, 4435559, 706896]
[1900752, 527759, -576385, 1902348, 633961, 1900853, 2907568, -576996]
[1681795, 174120, -887441, 1683227, 390101, 1681917, 2674986, -888302]
[1257473, 1380181, 366721, 1258587, 1898089, 1257644, 4187778, 367118]
[1425411, 1871564, 810028, 1426646, 2302788, 1425578, 4577275, 810811]
[1843738, 750196, -370523, 1845297, 875534, 1843856, 3140102, -370954]
